GISAID_isolate_id,genotype_profile,genotype_label,USDA_genotype
EPI_ISL_984680,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_984681,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_984684,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_984686,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_984688,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_984690,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_984691,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_984692,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_984693,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_984694,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_984695,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_996003,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1033028,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1033029,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1033030,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1033124,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1041108,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1041120,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1041121,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1041124,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1041125,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1041126,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1041127,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1041128,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1041129,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1041130,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1041131,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1041136,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1041137,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1041138,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1041139,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1041140,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1041141,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1041142,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1041143,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1041144,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1041145,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1041146,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1041147,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1041148,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1041149,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1041150,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1041151,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1041152,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1041153,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1041154,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1041155,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1041158,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1041159,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1041160,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1041161,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1041165,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1041166,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1041167,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1041168,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1041169,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1041170,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1041171,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1041172,1_7_8_2_2_2_1_3,NA,Notassigned
EPI_ISL_1041173,1_7_8_2_2_2_1_3,NA,Notassigned
EPI_ISL_1041176,9_7_6_2_2_2_1_3,H5N8/2020/R1,Notassigned
EPI_ISL_1041177,9_7_6_2_2_2_1_3,H5N8/2020/R1,Notassigned
EPI_ISL_1041178,9_7_6_2_2_2_1_3,H5N8/2020/R1,Notassigned
EPI_ISL_1041180,9_7_6_2_2_2_1_3,H5N8/2020/R1,Notassigned
EPI_ISL_1057106,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1058019,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1058020,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1058021,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1058022,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1081353,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1098830,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1114725,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1114735,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1114736,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1114737,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1114738,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1114740,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1114741,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1114742,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1114745,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1114746,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1114747,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1114748,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1114749,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1114750,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1114751,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1114752,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1114753,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1114754,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1114755,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1114756,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1114757,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1114758,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1114759,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1114760,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1114761,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1114762,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1114763,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1122425,2_1_1_1_2_1_1_1,H5N1/2020/R1,Notassigned
EPI_ISL_1123263,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1123350,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1123351,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1123352,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1123353,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1123355,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1123357,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1123358,6_4_3_1_3_25_1_3,NA,Notassigned
EPI_ISL_1123359,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1123360,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1123361,2_1_1_1_2_1_1_1,H5N1/2020/R1,Notassigned
EPI_ISL_1139014,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1139016,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1139017,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1139018,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1139019,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1139020,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1139021,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1139022,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1139023,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1139024,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1139025,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1139026,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1139027,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1139028,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1139029,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1139030,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1139031,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1139032,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1139033,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1139034,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1139035,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1139036,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1139037,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1139038,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1139039,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1139040,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1139041,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1139042,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1139043,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1139044,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1139045,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1139046,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1139047,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1139048,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1139049,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1139050,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1139051,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1139076,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1139078,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1139079,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1139080,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1139081,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1139082,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1139083,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1139084,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1139085,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1139086,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1139087,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1139088,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1139089,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1139090,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1139091,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1139092,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1139093,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1139094,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1139095,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1139096,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1139097,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1139098,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1139099,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1139100,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1139101,2_1_1_1_2_1_1_1,H5N1/2020/R1,Notassigned
EPI_ISL_1139102,2_1_1_1_2_1_1_1,H5N1/2020/R1,Notassigned
EPI_ISL_1139103,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1139104,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1139105,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1139106,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1139107,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1139108,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1139109,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1139110,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1139112,6_4_3_1_3_2_1_3,H5N8/2020/R2,D1.1
EPI_ISL_1139113,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1139159,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1139160,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1139161,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1139162,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1139163,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1139164,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1139165,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1139166,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1139167,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1139168,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1139169,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1139170,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1139171,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1139172,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1139173,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1180234,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1184508,1_7_8_2_2_2_1_3,NA,Notassigned
EPI_ISL_1184509,1_7_8_2_2_2_1_3,NA,Notassigned
EPI_ISL_1184510,1_7_8_2_2_2_1_3,NA,Notassigned
EPI_ISL_1184511,1_7_8_2_2_2_1_3,NA,Notassigned
EPI_ISL_1184517,12_10_6_2_2_2_1_3,H5N8/2020/R4,Notassigned
EPI_ISL_1184518,12_10_6_2_2_2_1_3,H5N8/2020/R4,Notassigned
EPI_ISL_1185026,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1205485,21_6_2_1_9_8_1_1,H5N3/2020/R1,Notassigned
EPI_ISL_1205487,21_6_2_1_9_8_1_1,H5N3/2020/R1,Notassigned
EPI_ISL_1205489,21_6_2_1_9_8_1_1,H5N3/2020/R1,Notassigned
EPI_ISL_1224942,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1224946,2_1_1_1_2_1_1_1,H5N1/2020/R1,Notassigned
EPI_ISL_1224949,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1224989,2_1_1_1_2_1_1_1,H5N1/2020/R1,Notassigned
EPI_ISL_1225077,1_6_24_1_2_12_1_1,NA,Notassigned
EPI_ISL_1225079,1_6_2_1_2_12_1_1,NA,Notassigned
EPI_ISL_1238195,6_4_2_1_15_4_1_3,NA,Notassigned
EPI_ISL_1279262,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1295638,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1295639,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1303550,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1303776,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1307695,6_7_2_1_3_2_1_3,H5N8/2021/R1,Notassigned
EPI_ISL_1307703,6_7_2_1_3_2_1_3,H5N8/2021/R1,Notassigned
EPI_ISL_1307709,6_4_3_1_2_2_1_3,H5N8/2020/R3,Notassigned
EPI_ISL_1307716,6_4_2_1_3_17_1_3,NA,Notassigned
EPI_ISL_1307720,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1308010,6_4_2_1_3_4_1_3,H5N5/2020/R1,Notassigned
EPI_ISL_1385792,6_4_2_1_3_4_1_3,H5N5/2020/R1,Notassigned
EPI_ISL_1389398,6_7_2_1_3_2_1_3,H5N8/2021/R1,Notassigned
EPI_ISL_1697181,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1697182,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1697183,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1697184,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1697185,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1697186,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1697187,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1697188,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1697189,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1697190,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1697191,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1697192,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1697193,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1697194,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1697195,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1697196,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1697197,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1697198,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1697199,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1697200,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1937883,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1937884,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1937889,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1937890,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1937891,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1937892,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1938307,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1938309,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1938478,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1941542,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1941578,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1941579,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1941580,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1941581,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1941582,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_2081527,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_2081528,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_2114013,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_2131573,6_7_2_1_3_2_1_3,H5N8/2021/R1,Notassigned
EPI_ISL_2172517,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_2172518,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_2172522,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_2172523,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_2172525,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_2172526,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_2172528,2_1_1_1_2_1_1_1,H5N1/2020/R1,Notassigned
EPI_ISL_2172529,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_2172530,21_6_2_1_9_8_1_1,H5N3/2020/R1,Notassigned
EPI_ISL_2172531,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_2172532,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_2172533,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_2175628,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_2176321,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_2254497,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_2556113,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_2713170,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_2815336,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_2815374,9_7_6_2_2_2_1_3,H5N8/2020/R1,Notassigned
EPI_ISL_3102024,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_3102029,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_3102054,8_6_2_1_2_3_1_1,H5N5/2020/R2,Notassigned
EPI_ISL_3102055,8_6_2_1_2_3_1_1,H5N5/2020/R2,Notassigned
EPI_ISL_3102056,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_3102057,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_3102058,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_3102059,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_3102060,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_3102061,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_3102062,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_3102063,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_3102064,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_3102065,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_3102066,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_3102067,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_3102068,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_3102069,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_3102070,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_3102071,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_3102072,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_3102073,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_3102074,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_3102075,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_3102076,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
